City,Room Type,Price,Guests,Rating,lat,lng
"New Delhi, India",Private Room,613,10,4.650204081632653,28.49231,77.21424
"Kerala, India",Private Room,722,4,4.650204081632653,11.53047,76.15498
"Dona Paula, India",Entire Place,601,10,4.650204081632653,15.4557,73.79935
"Zirad, India",Entire Place,528,11,4.67,18.75338,72.9123
"Almora, India",Private Room,532,4,4.650204081632653,29.70544,79.74828
"North Goa, India",Entire Place,549,16,4.650204081632653,15.55671,73.78139
"Waghodia, India",Hotel/Other,533,12,4.650204081632653,22.33,73.534
"Ahmedabad, India",Entire Place,541,6,4.650204081632653,23.01665,72.37177
"Udaipur, India",Entire Place,577,16,4.650204081632653,24.57298,73.64834
"New Delhi, India",Hotel/Other,722,16,4.650204081632653,28.43926,77.18906
"Coimbatore, India",Entire Place,503,16,4.650204081632653,11.03008,76.93579
"Raiseena, India",Private Room,541,16,4.650204081632653,28.31868,77.01859
"Kamshet, India",Entire Place,565,16,4.650204081632653,18.74762,73.54216
"Baga, India",Entire Place,490,15,3.33,15.55641,73.75528
"Raigad, India",Entire Place,661,16,4.650204081632653,18.4914,72.90293
"Jaipur, India",Entire Place,698,16,4.650204081632653,26.905,75.777
"Mussoorie, India",Entire Place,499,8,4.650204081632653,30.44259,78.20533
"Chouk, India",Entire Place,558,10,4.650204081632653,18.91733,73.27612
"Shahpur, India",Entire Place,707,16,4.650204081632653,19.46364,73.37774
"New Delhi, India",Entire Place,661,15,4.650204081632653,28.58985,77.24795
"Mahabaleshwar, India",Entire Place,548,15,4.650204081632653,17.92718,73.67217
"Reis Magos, India",Entire Place,541,12,4.650204081632653,15.507,73.812
"Kumarakom, India",Entire Place,601,16,4.650204081632653,9.58526,76.42267
"Aundholi, India",Private Room,567,16,4.650204081632653,18.70868,73.46052
"Calangute, India",Entire Place,601,15,4.650204081632653,15.53888,73.76503
"Calangute, India",Entire Place,545,16,4.93,15.533,73.762
"Bagru, India",Hotel/Other,524,16,4.650204081632653,26.78134,75.52838
"Narendra Nagar, India",Private Room,706,6,4.650204081632653,30.13509,78.30805
"Candolim, India",Entire Place,561,16,4.33,15.51971,73.77465
"Assagaon, India",Entire Place,640,10,4.650204081632653,15.60493,-73.75071
"Assagao, India",Entire Place,541,13,4.650204081632653,15.602,73.783
"Kune N.m., India",Entire Place,598,16,4.650204081632653,18.77096,73.37924
"Vagator, India",Entire Place,661,16,4.650204081632653,15.59441,73.74917
"Dabolim, India",Entire Place,601,7,2.33,15.37225,73.89023
"Kasauli, India",Hotel/Other,601,16,4.650204081632653,30.90024,76.96419
"Tangmarg, India",Private Room,716,10,4.650204081632653,34.03872933,74.40793629
"Tilase, India",Hotel/Other,661,16,4.650204081632653,19.64953,73.2105
"Colovale, India",Entire Place,722,8,4.73,15.65007,73.81935
"Candolim, India",Entire Place,550,14,4.7,15.51608,73.78854
"Udaipur, India",Entire Place,490,16,4.91,24.54901,73.67723
"Virajpet, India",Entire Place,601,8,4.42,12.19751,75.8028
"North Goa, India",Entire Place,541,16,4.57,15.499,73.779
"Mahabaleshwar, India",Entire Place,723,12,4.650204081632653,17.966,73.663
"Nashik, India",Entire Place,505,16,4.25,20.01012,73.66948
"Lonavala, India",Private Room,530,16,4.33,18.75271,73.40711
"Khandala, India",Entire Place,503,16,4.85,18.75518,73.3726
"Bengaluru, India",Entire Place,577,15,4.67,12.78803,77.66133
"Zirad, India",Entire Place,558,16,4.33,18.75464,72.88832
"Chennai, India",Entire Place,722,10,4.650204081632653,12.86294,80.24809
"Ernakulam, India",Entire Place,661,8,4.650204081632653,9.89654,76.33206
"Lonavala, India",Entire Place,612,16,4.650204081632653,18.77183,73.39347
"Gurugram, India",Entire Place,678,10,4.650204081632653,28.42572,77.03501
"Calangute, India",Entire Place,577,7,4.73,15.53583,73.77486
"North Goa, India",Entire Place,549,16,4.84,15.552,73.767
"New Delhi, India",Entire Place,679,8,4.650204081632653,28.47924,77.15245
"Alappuzha, India",Entire Place,548,12,4.85,9.54264,76.35528
"Bardez, India",Entire Place,605,16,4.650204081632653,15.59979,73.73982
"BARDEZ, India",Entire Place,722,10,4.63,15.52367,73.84667
"Sangolda, India",Entire Place,722,16,4.67,15.53822,73.81759
"Lonavala, India",Entire Place,619,16,4.650204081632653,18.75566,73.39192
"Nerul, India",Entire Place,731,16,4.650204081632653,15.51149,73.78643
"Aldona, India",Entire Place,722,10,4.9,15.59977,73.87164
"Chennai, India",Entire Place,515,6,4.94,12.74715,80.24307
"Nerul, India",Entire Place,495,12,4.31,15.5003,73.79552
"Garat Pur Bas, India",Hotel/Other,490,16,4.75,28.32043,77.02146
"Vadanemmeli, India",Entire Place,722,10,4.83,12.74755,80.2436
"Nerul , India",Entire Place,692,6,5.0,15.50249,73.79117
"Nerul, India",Entire Place,601,10,5.0,15.50076,73.80018
"Candolim, India",Entire Place,513,9,4.77,15.51254,73.76794
"Dona Paula Beach, India",Entire Place,512,12,4.83,15.45413,73.83351
"Mandrem, India",Entire Place,711,15,3.71,15.66473,73.71201
"Reis Magos, India",Entire Place,498,14,4.73,15.49681,73.80242
"Lonavla, India",Entire Place,636,15,4.55,18.76465,73.38206
"Assagao, India",Entire Place,498,15,4.88,15.59308,73.77637
"North Goa, India",Entire Place,775,16,4.8,15.535,73.767
